ISIN,Ticker,Unternehmensname,Sektor,Earnings Growth 0-100,Sales Growth 0-100,EPS Growth 0-100,Final Growth 0-100,Final Growth 0-100_Var2,Momentum12M 0-100,Momentum6M 0-100,Final Momentum 0-100,Final Momentum 0-100_Var2,Variability 0-100,Profitability 0-100,Leverage 0-100,Final Quality 0-100,Final Quality 0-100_Var2,EarningsYield 0-100,Valuation 0-100,Final Value 0-100,Final Value 0-100_Var2,Final Min_Vol 0-100
US3546131018,BEN,"Franklin Resources, Inc.",Financial Services,26.179789117915508,13.063003243500662,8.27104949455654,21.245799511680023,17.35132684347778,15.3240178533448,47.39599366388686,31.538030354743395,31.36000575861583,94.33651066627736,43.93205435313095,74.4053829143165,63.979235048719374,64.15150057171394,44.65875852591885,39.88052506981923,40.75017157204166,42.26964179786904,62.57729459798435
JP3223800008,9107.T,"Kawasaki Kisen Kaisha, Ltd.",Industrials,41.845244854266646,34.54588708393012,0.0,35.92171953213409,30.556452775278707,16.064796852273474,25.98409390508185,21.079505249704223,21.02444537867766,51.09815694148533,82.60088632739549,82.78307344512716,80.53548247914462,74.77075076035086,100.0,38.13012421054216,68.48500177085697,69.06506210527108,23.014013322023494
FR0000051807,TEP.PA,Teleperformance SE,Industrials,48.57488216424251,42.6695683214577,6.0832021276626405,44.684001998032485,37.71442061981261,12.62557959497137,22.94381348821498,17.841970824675876,17.784696541593174,86.48098450113024,45.21623976064404,73.97363951838766,61.85768076349522,62.721775885201495,84.91369520178293,50.697197835526055,67.08264702880983,67.80544651865449,25.663239359982075
DE000A2E4K43,DHER.DE,Delivery Hero SE,Consumer Cyclical,2.1135167778561863,84.93104180874225,100.0,68.87788994872257,54.81782343463937,38.34031927070598,18.37290354056552,28.2457766026268,28.35661140563575,59.12141383165496,0.0,71.03616593439027,15.577320375322133,32.539394941511304,0.0,27.61946850486773,11.403991314663768,13.809734252433865,0.0
JP3511800009,8331.T,"The Chiba Bank, Ltd.",Financial Services,39.94396001575264,13.45996183656598,8.082839403896017,28.18922544705856,22.978136621706653,34.98593532471877,43.91588338693959,39.500477564741786,39.45090935582918,96.19087190177264,42.72694669713783,66.06976046908308,60.78274532581632,61.928631441282846,48.95136295691407,31.790058977947368,38.84952795753085,40.37071096743072,40.48907218713358
FR0010313833,AKE.PA,Arkema S.A.,Basic Materials,39.16628650892615,29.47594531271649,8.052271094375975,34.82617211142877,29.06734694753225,13.616380801899185,22.737981333477777,18.2278130979776,18.17718106768848,83.43757793886095,44.52153893717997,81.98218856498872,63.02234316354034,63.6157110945524,51.82795231478279,52.51038215055153,50.89193011028525,52.16916723266717,71.8836758871526
CH0130293662,BKW.SW,BKW AG,Utilities,44.37495495847634,29.8891503578329,7.121083947188733,37.30655490198011,31.12985891596144,47.0193017030149,29.51496522341035,38.16997068001926,38.26713346321263,89.64644055955713,42.84016806299056,86.22267680905354,65.57111417988027,65.38736337364794,42.3518693860257,23.20212427689849,31.061315237296597,32.77699683146209,86.3976527935205
IT0005090300,INW.MI,Infrastrutture Wireless Italiane S.p.A.,Real Estate,45.81345385406912,16.41856985556742,6.6806129573693145,31.971089191186465,26.22893207532848,27.880166634542974,24.090376004630983,25.96423501205533,25.985271319586975,95.03901958994972,46.44826151611971,76.27328150479394,66.8518175617628,66.05220603174577,28.581353129980418,22.327018967176866,23.492463810548387,25.45418604857864,95.72551822833532
HK0066009694,0066.HK,MTR CORPORATION,Industrials,50.21690597992791,17.502659919620385,6.991537570788961,34.726006221468644,28.48613387397711,24.513627416070708,20.727208131495104,22.59940017985954,22.620417773782904,93.48365109192292,38.861780896744754,86.95695262873434,64.20505598850309,64.5410413785367,52.25042985824759,39.26700024576818,44.364611528356846,45.75871505200789,80.54546759273326
JP3675600005,2897.T,"Nissin Foods Holdings Co.,Ltd.",Consumer Defensive,45.69814077966532,45.70549999349585,6.204441484034339,44.62720828933825,37.802344606071344,11.774136833573971,23.38502458276063,17.644030233024825,17.5795807081673,86.37095272258853,44.19466339619611,92.806981970689,67.72470479665213,66.89181537141744,37.89377077850197,26.273136127428447,30.31956648905927,32.08345345296521,77.46299458453183
